h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
1683. Invalid Tweets,https://leetcode.com/problems/invalid-tweets,,90.9%,,Easy,
1684. Count the Number of Consistent Strings,https://leetcode.com/problems/count-the-number-of-consistent-strings,,81.8%,,Easy,
1685. Sum of Absolute Differences in a Sorted Array,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array,,65.6%,Medium,,
1686. Stone Game VI,https://leetcode.com/problems/stone-game-vi,,53.5%,Medium,,
1687. Delivering Boxes from Storage to Ports,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,,36.8%,,,Hard
1688. Count of Matches in Tournament,https://leetcode.com/problems/count-of-matches-in-tournament,,82.6%,,Easy,
1689. Partitioning Into Minimum Number Of Deci-Binary Numbers,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/solution,87.8%,Medium,,
1690. Stone Game VII,https://leetcode.com/problems/stone-game-vii,https://leetcode.com/problems/stone-game-vii/solution,58.7%,Medium,,
1691. Maximum Height by Stacking Cuboids,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,,53.6%,,,Hard
1692. Count Ways to Distribute Candies,https://leetcode.com/problems/count-ways-to-distribute-candies,,60.7%,,,Hard
1693. Daily Leads and Partners,https://leetcode.com/problems/daily-leads-and-partners,,91.4%,,Easy,
1694. Reformat Phone Number,https://leetcode.com/problems/reformat-phone-number,,65.1%,,Easy,
1695. Maximum Erasure Value,https://leetcode.com/problems/maximum-erasure-value,https://leetcode.com/problems/maximum-erasure-value/solution,52.3%,Medium,,
1696. Jump Game VI,https://leetcode.com/problems/jump-game-vi,https://leetcode.com/problems/jump-game-vi/solution,42.6%,Medium,,
1697. Checking Existence of Edge Length Limited Paths,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths,,48.5%,,,Hard
1698. Number of Distinct Substrings in a String,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,,62.5%,Medium,,
1699. Number of Calls Between Two Persons,https://leetcode.com/problems/number-of-calls-between-two-persons,,86.1%,Medium,,
1700. Number of Students Unable to Eat Lunch,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,,67.9%,,Easy,
1701. Average Waiting Time,https://leetcode.com/problems/average-waiting-time,,61.6%,Medium,,
1702. Maximum Binary String After Change,https://leetcode.com/problems/maximum-binary-string-after-change,,45.1%,Medium,,
1703. Minimum Adjacent Swaps for K Consecutive Ones,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,,40.2%,,,Hard
1704. Determine if String Halves Are Alike,https://leetcode.com/problems/determine-if-string-halves-are-alike,https://leetcode.com/problems/determine-if-string-halves-are-alike/solution,78.1%,,Easy,
1705. Maximum Number of Eaten Apples,https://leetcode.com/problems/maximum-number-of-eaten-apples,,36.1%,Medium,,
1706. Where Will the Ball Fall,https://leetcode.com/problems/where-will-the-ball-fall,,66.4%,Medium,,
1707. Maximum XOR With an Element From Array,https://leetcode.com/problems/maximum-xor-with-an-element-from-array,,43.1%,,,Hard
1708. Largest Subarray Length K,https://leetcode.com/problems/largest-subarray-length-k,,63.5%,,Easy,
1709. Biggest Window Between Visits,https://leetcode.com/problems/biggest-window-between-visits,,78.1%,Medium,,
1710. Maximum Units on a Truck,https://leetcode.com/problems/maximum-units-on-a-truck,https://leetcode.com/problems/maximum-units-on-a-truck/solution,72.1%,,Easy,
1711. Count Good Meals,https://leetcode.com/problems/count-good-meals,,28.2%,Medium,,
1712. Ways to Split Array Into Three Subarrays,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays,,30.8%,Medium,,
1713. Minimum Operations to Make a Subsequence,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence,,48.7%,,,Hard
1714. Sum Of Special Evenly-Spaced Elements In Array,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,,52.1%,,,Hard
1715. Count Apples and Oranges,https://leetcode.com/problems/count-apples-and-oranges,,77.9%,Medium,,
1716. Calculate Money in Leetcode Bank,https://leetcode.com/problems/calculate-money-in-leetcode-bank,,64.8%,,Easy,
1717. Maximum Score From Removing Substrings,https://leetcode.com/problems/maximum-score-from-removing-substrings,,44.4%,Medium,,
1718. Construct the Lexicographically Largest Valid Sequence,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence,,51.1%,Medium,,
1719. Number Of Ways To Reconstruct A Tree,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree,,42.0%,,,Hard
1720. Decode XORed Array,https://leetcode.com/problems/decode-xored-array,,85.9%,,Easy,
1721. Swapping Nodes in a Linked List,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/solution,65.5%,Medium,,
1722. Minimize Hamming Distance After Swap Operations,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations,,47.3%,Medium,,
1723. Find Minimum Time to Finish All Jobs,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,,42.8%,,,Hard
1724. Checking Existence of Edge Length Limited Paths II,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii,,52.5%,,,Hard
1725. Number Of Rectangles That Can Form The Largest Square,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square,,78.7%,,Easy,
1726. Tuple with Same Product,https://leetcode.com/problems/tuple-with-same-product,,60.3%,Medium,,
1727. Largest Submatrix With Rearrangements,https://leetcode.com/problems/largest-submatrix-with-rearrangements,,60.2%,Medium,,
1728. Cat and Mouse II,https://leetcode.com/problems/cat-and-mouse-ii,,40.3%,,,Hard
1729. Find Followers Count,https://leetcode.com/problems/find-followers-count,,71.4%,,Easy,
1730. Shortest Path to Get Food,https://leetcode.com/problems/shortest-path-to-get-food,,54.3%,Medium,,
1731. The Number of Employees Which Report to Each Employee,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee,,48.9%,,Easy,
1732. Find the Highest Altitude,https://leetcode.com/problems/find-the-highest-altitude,,78.9%,,Easy,
1733. Minimum Number of People to Teach,https://leetcode.com/problems/minimum-number-of-people-to-teach,,40.6%,Medium,,
1734. Decode XORed Permutation,https://leetcode.com/problems/decode-xored-permutation,,60.2%,Medium,,
1735. Count Ways to Make Array With Product,https://leetcode.com/problems/count-ways-to-make-array-with-product,,49.5%,,,Hard
1736. Latest Time by Replacing Hidden Digits,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits,,41.9%,,Easy,
1737. Change Minimum Characters to Satisfy One of Three Conditions,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions,,33.6%,Medium,,
1738. Find Kth Largest XOR Coordinate Value,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value,,62.3%,Medium,,
1739. Building Boxes,https://leetcode.com/problems/building-boxes,,50.7%,,,Hard
1740. Find Distance in a Binary Tree,https://leetcode.com/problems/find-distance-in-a-binary-tree,,68.2%,Medium,,
1741. Find Total Time Spent by Each Employee,https://leetcode.com/problems/find-total-time-spent-by-each-employee,,91.4%,,Easy,
1742. Maximum Number of Balls in a Box,https://leetcode.com/problems/maximum-number-of-balls-in-a-box,,73.7%,,Easy,
1743. Restore the Array From Adjacent Pairs,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,,68.0%,Medium,,
1744. Can You Eat Your Favorite Candy on Your Favorite Day?,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day,,32.1%,Medium,,
1745. Palindrome Partitioning IV,https://leetcode.com/problems/palindrome-partitioning-iv,,49.3%,,,Hard
1746. Maximum Subarray Sum After One Operation,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,,62.0%,Medium,,
1747. Leetflex Banned Accounts,https://leetcode.com/problems/leetflex-banned-accounts,,67.3%,Medium,,
1748. Sum of Unique Elements,https://leetcode.com/problems/sum-of-unique-elements,,75.4%,,Easy,
1749. Maximum Absolute Sum of Any Subarray,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray,,56.6%,Medium,,
1750. Minimum Length of String After Deleting Similar Ends,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends,,43.0%,Medium,,
1751. Maximum Number of Events That Can Be Attended II,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,,54.5%,,,Hard
1752. Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,,47.4%,,Easy,
1753. Maximum Score From Removing Stones,https://leetcode.com/problems/maximum-score-from-removing-stones,,64.9%,Medium,,
1754. Largest Merge Of Two Strings,https://leetcode.com/problems/largest-merge-of-two-strings,,43.6%,Medium,,
1755. Closest Subsequence Sum,https://leetcode.com/problems/closest-subsequence-sum,,36.4%,,,Hard
1756. Design Most Recently Used Queue,https://leetcode.com/problems/design-most-recently-used-queue,,79.0%,Medium,,
1757. Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products,,95.8%,,Easy,
1758. Minimum Changes To Make Alternating Binary String,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,,59.3%,,Easy,
1759. Count Number of Homogenous Substrings,https://leetcode.com/problems/count-number-of-homogenous-substrings,,46.0%,Medium,,
1760. Minimum Limit of Balls in a Bag,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,,56.4%,Medium,,
1761. Minimum Degree of a Connected Trio in a Graph,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,,41.4%,,,Hard
1762. Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view,https://leetcode.com/problems/buildings-with-an-ocean-view/solution,80.4%,Medium,,
1763. Longest Nice Substring,https://leetcode.com/problems/longest-nice-substring,,62.0%,,Easy,
1764. Form Array by Concatenating Subarrays of Another Array,https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array,,53.0%,Medium,,
1765. Map of Highest Peak,https://leetcode.com/problems/map-of-highest-peak,,59.5%,Medium,,
1766. Tree of Coprimes,https://leetcode.com/problems/tree-of-coprimes,,38.0%,,,Hard
1767. Find the Subtasks That Did Not Execute,https://leetcode.com/problems/find-the-subtasks-that-did-not-execute,,83.7%,,,Hard
1768. Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately,,75.1%,,Easy,
1769. Minimum Number of Operations to Move All Balls to Each Box,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box,,85.6%,Medium,,
1770. Maximum Score from Performing Multiplication Operations,https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations,,35.4%,Medium,,
1771. Maximize Palindrome Length From Subsequences,https://leetcode.com/problems/maximize-palindrome-length-from-subsequences,,34.7%,,,Hard
1772. Sort Features by Popularity,https://leetcode.com/problems/sort-features-by-popularity,,65.3%,Medium,,
1773. Count Items Matching a Rule,https://leetcode.com/problems/count-items-matching-a-rule,,84.5%,,Easy,
1774. Closest Dessert Cost,https://leetcode.com/problems/closest-dessert-cost,,46.0%,Medium,,
1775. Equal Sum Arrays With Minimum Number of Operations,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,,51.3%,Medium,,
1776. Car Fleet II,https://leetcode.com/problems/car-fleet-ii,,52.6%,,,Hard
1777. Product's Price for Each Store,https://leetcode.com/problems/products-price-for-each-store,,85.9%,,Easy,
1778. Shortest Path in a Hidden Grid,https://leetcode.com/problems/shortest-path-in-a-hidden-grid,,41.6%,Medium,,
1779. Find Nearest Point That Has the Same X or Y Coordinate,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,,68.5%,,Easy,
1780. Check if Number is a Sum of Powers of Three,https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three,,64.8%,Medium,,
1781. Sum of Beauty of All Substrings,https://leetcode.com/problems/sum-of-beauty-of-all-substrings,,59.8%,Medium,,
1782. Count Pairs Of Nodes,https://leetcode.com/problems/count-pairs-of-nodes,,37.0%,,,Hard
1783. Grand Slam Titles,https://leetcode.com/problems/grand-slam-titles,,89.4%,Medium,,
1784. Check if Binary String Has at Most One Segment of Ones,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,,41.0%,,Easy,
1785. Minimum Elements to Add to Form a Given Sum,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,,41.4%,Medium,,
1786. Number of Restricted Paths From First to Last Node,https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node,,38.0%,Medium,,
1787. Make the XOR of All Segments Equal to Zero,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,,39.2%,,,Hard
1788. Maximize the Beauty of the Garden,https://leetcode.com/problems/maximize-the-beauty-of-the-garden,,67.1%,,,Hard
1789. Primary Department for Each Employee,https://leetcode.com/problems/primary-department-for-each-employee,,78.6%,,Easy,
1790. Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,,45.9%,,Easy,
1791. Find Center of Star Graph,https://leetcode.com/problems/find-center-of-star-graph,,83.8%,,Easy,
1792. Maximum Average Pass Ratio,https://leetcode.com/problems/maximum-average-pass-ratio,,50.3%,Medium,,
1793. Maximum Score of a Good Subarray,https://leetcode.com/problems/maximum-score-of-a-good-subarray,,51.3%,,,Hard
1794. Count Pairs of Equal Substrings With Minimum Difference,https://leetcode.com/problems/count-pairs-of-equal-substrings-with-minimum-difference,,64.7%,Medium,,
1795. Rearrange Products Table,https://leetcode.com/problems/rearrange-products-table,,90.2%,,Easy,
1796. Second Largest Digit in a String,https://leetcode.com/problems/second-largest-digit-in-a-string,,49.0%,,Easy,
1797. Design Authentication Manager,https://leetcode.com/problems/design-authentication-manager,,52.6%,Medium,,
1798. Maximum Number of Consecutive Values You Can Make,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,,51.0%,Medium,,
1799. Maximize Score After N Operations,https://leetcode.com/problems/maximize-score-after-n-operations,,46.3%,,,Hard
1800. Maximum Ascending Subarray Sum,https://leetcode.com/problems/maximum-ascending-subarray-sum,,64.5%,,Easy,
1801. Number of Orders in the Backlog,https://leetcode.com/problems/number-of-orders-in-the-backlog,,45.7%,Medium,,
1802. Maximum Value at a Given Index in a Bounded Array,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,,29.7%,Medium,,
1803. Count Pairs With XOR in a Range,https://leetcode.com/problems/count-pairs-with-xor-in-a-range,,46.3%,,,Hard
1804. Implement Trie II (Prefix Tree),https://leetcode.com/problems/implement-trie-ii-prefix-tree,,58.7%,Medium,,
1805. Number of Different Integers in a String,https://leetcode.com/problems/number-of-different-integers-in-a-string,,35.5%,,Easy,
1806. Minimum Number of Operations to Reinitialize a Permutation,https://leetcode.com/problems/minimum-number-of-operations-to-reinitialize-a-permutation,,70.9%,Medium,,
1807. Evaluate the Bracket Pairs of a String,https://leetcode.com/problems/evaluate-the-bracket-pairs-of-a-string,,66.7%,Medium,,
1808. Maximize Number of Nice Divisors,https://leetcode.com/problems/maximize-number-of-nice-divisors,,30.0%,,,Hard
1809. Ad-Free Sessions,https://leetcode.com/problems/ad-free-sessions,,60.0%,,Easy,
1810. Minimum Path Cost in a Hidden Grid,https://leetcode.com/problems/minimum-path-cost-in-a-hidden-grid,,53.5%,Medium,,
1811. Find Interview Candidates,https://leetcode.com/problems/find-interview-candidates,,65.3%,Medium,,
1812. Determine Color of a Chessboard Square,https://leetcode.com/problems/determine-color-of-a-chessboard-square,,77.7%,,Easy,
1813. Sentence Similarity III,https://leetcode.com/problems/sentence-similarity-iii,,32.2%,Medium,,
1814. Count Nice Pairs in an Array,https://leetcode.com/problems/count-nice-pairs-in-an-array,,40.0%,Medium,,
1815. Maximum Number of Groups Getting Fresh Donuts,https://leetcode.com/problems/maximum-number-of-groups-getting-fresh-donuts,,39.9%,,,Hard
1816. Truncate Sentence,https://leetcode.com/problems/truncate-sentence,,81.0%,,Easy,
1817. Finding the Users Active Minutes,https://leetcode.com/problems/finding-the-users-active-minutes,,80.5%,Medium,,
1818. Minimum Absolute Sum Difference,https://leetcode.com/problems/minimum-absolute-sum-difference,,28.7%,Medium,,
1819. Number of Different Subsequences GCDs,https://leetcode.com/problems/number-of-different-subsequences-gcds,,36.9%,,,Hard
1820. Maximum Number of Accepted Invitations,https://leetcode.com/problems/maximum-number-of-accepted-invitations,,46.6%,Medium,,
1821. Find Customers With Positive Revenue this Year,https://leetcode.com/problems/find-customers-with-positive-revenue-this-year,,89.7%,,Easy,
1822. Sign of the Product of an Array,https://leetcode.com/problems/sign-of-the-product-of-an-array,,67.4%,,Easy,
1823. Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game,,76.2%,Medium,,
1824. Minimum Sideway Jumps,https://leetcode.com/problems/minimum-sideway-jumps,,49.2%,Medium,,
1825. Finding MK Average,https://leetcode.com/problems/finding-mk-average,,32.9%,,,Hard
1826. Faulty Sensor,https://leetcode.com/problems/faulty-sensor,,49.9%,,Easy,
1827. Minimum Operations to Make the Array Increasing,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,,78.2%,,Easy,
1828. Queries on Number of Points Inside a Circle,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,,86.7%,Medium,,
1829. Maximum XOR for Each Query,https://leetcode.com/problems/maximum-xor-for-each-query,,76.0%,Medium,,
1830. Minimum Number of Operations to Make String Sorted,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,,47.7%,,,Hard
1831. Maximum Transaction Each Day,https://leetcode.com/problems/maximum-transaction-each-day,,83.2%,Medium,,
1832. Check if the Sentence Is Pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram,,81.4%,,Easy,
1833. Maximum Ice Cream Bars,https://leetcode.com/problems/maximum-ice-cream-bars,,64.7%,Medium,,
1834. Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu,,40.4%,Medium,,
1835. Find XOR Sum of All Pairs Bitwise AND,https://leetcode.com/problems/find-xor-sum-of-all-pairs-bitwise-and,,58.7%,,,Hard
1836. Remove Duplicates From an Unsorted Linked List,https://leetcode.com/problems/remove-duplicates-from-an-unsorted-linked-list,,69.7%,Medium,,
1837. Sum of Digits in Base K,https://leetcode.com/problems/sum-of-digits-in-base-k,,76.3%,,Easy,
1838. Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element,,36.2%,Medium,,
1839. Longest Substring Of All Vowels in Order,https://leetcode.com/problems/longest-substring-of-all-vowels-in-order,,47.9%,Medium,,
1840. Maximum Building Height,https://leetcode.com/problems/maximum-building-height,,34.8%,,,Hard
1841. League Statistics,https://leetcode.com/problems/league-statistics,,58.6%,Medium,,
1842. Next Palindrome Using Same Digits,https://leetcode.com/problems/next-palindrome-using-same-digits,,57.0%,,,Hard
1843. Suspicious Bank Accounts,https://leetcode.com/problems/suspicious-bank-accounts,,49.1%,Medium,,
1844. Replace All Digits with Characters,https://leetcode.com/problems/replace-all-digits-with-characters,,80.1%,,Easy,
1845. Seat Reservation Manager,https://leetcode.com/problems/seat-reservation-manager,,59.9%,Medium,,
1846. Maximum Element After Decreasing and Rearranging,https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging,,57.4%,Medium,,
1847. Closest Room,https://leetcode.com/problems/closest-room,,32.9%,,,Hard
1848. Minimum Distance to the Target Element,https://leetcode.com/problems/minimum-distance-to-the-target-element,,59.8%,,Easy,
1849. Splitting a String Into Descending Consecutive Values,https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values,,30.9%,Medium,,
1850. Minimum Adjacent Swaps to Reach the Kth Smallest Number,https://leetcode.com/problems/minimum-adjacent-swaps-to-reach-the-kth-smallest-number,,72.5%,Medium,,
1851. Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query,,45.4%,,,Hard
1852. Distinct Numbers in Each Subarray,https://leetcode.com/problems/distinct-numbers-in-each-subarray,,72.8%,Medium,,
1853. Convert Date Format,https://leetcode.com/problems/convert-date-format,,87.6%,,Easy,
1854. Maximum Population Year,https://leetcode.com/problems/maximum-population-year,,58.6%,,Easy,
1855. Maximum Distance Between a Pair of Values,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values,,49.0%,Medium,,
1856. Maximum Subarray Min-Product,https://leetcode.com/problems/maximum-subarray-min-product,,35.2%,Medium,,
1857. Largest Color Value in a Directed Graph,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,,39.6%,,,Hard
1858. Longest Word With All Prefixes,https://leetcode.com/problems/longest-word-with-all-prefixes,,66.3%,Medium,,
1859. Sorting the Sentence,https://leetcode.com/problems/sorting-the-sentence,,84.4%,,Easy,
1860. Incremental Memory Leak,https://leetcode.com/problems/incremental-memory-leak,,70.8%,Medium,,
1861. Rotating the Box,https://leetcode.com/problems/rotating-the-box,,64.2%,Medium,,
1862. Sum of Floored Pairs,https://leetcode.com/problems/sum-of-floored-pairs,,27.8%,,,Hard
1863. Sum of All Subset XOR Totals,https://leetcode.com/problems/sum-of-all-subset-xor-totals,,78.6%,,Easy,
1864. Minimum Number of Swaps to Make the Binary String Alternating,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-binary-string-alternating,,38.3%,Medium,,
1865. Finding Pairs With a Certain Sum,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,,48.8%,Medium,,
1866. Number of Ways to Rearrange Sticks With K Sticks Visible,https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible,,55.2%,,,Hard
1867. Orders With Maximum Quantity Above Average,https://leetcode.com/problems/orders-with-maximum-quantity-above-average,,76.1%,Medium,,
1868. Product of Two Run-Length Encoded Arrays,https://leetcode.com/problems/product-of-two-run-length-encoded-arrays,,58.4%,Medium,,
1869. Longer Contiguous Segments of Ones than Zeros,https://leetcode.com/problems/longer-contiguous-segments-of-ones-than-zeros,,60.1%,,Easy,
1870. Minimum Speed to Arrive on Time,https://leetcode.com/problems/minimum-speed-to-arrive-on-time,,35.1%,Medium,,
1871. Jump Game VII,https://leetcode.com/problems/jump-game-vii,,24.7%,Medium,,
1872. Stone Game VIII,https://leetcode.com/problems/stone-game-viii,,52.4%,,,Hard
1873. Calculate Special Bonus,https://leetcode.com/problems/calculate-special-bonus,,91.1%,,Easy,
1874. Minimize Product Sum of Two Arrays,https://leetcode.com/problems/minimize-product-sum-of-two-arrays,,89.5%,Medium,,
1875. Group Employees of the Same Salary,https://leetcode.com/problems/group-employees-of-the-same-salary,,75.3%,Medium,,
1876. Substrings of Size Three with Distinct Characters,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,,69.6%,,Easy,
1877. Minimize Maximum Pair Sum in Array,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,,80.6%,Medium,,
1878. Get Biggest Three Rhombus Sums in a Grid,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,,44.7%,Medium,,
1879. Minimum XOR Sum of Two Arrays,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,,41.8%,,,Hard
1880. Check if Word Equals Summation of Two Words,https://leetcode.com/problems/check-if-word-equals-summation-of-two-words,,73.1%,,Easy,
1881. Maximum Value after Insertion,https://leetcode.com/problems/maximum-value-after-insertion,,35.5%,Medium,,
1882. Process Tasks Using Servers,https://leetcode.com/problems/process-tasks-using-servers,,36.9%,Medium,,
1883. Minimum Skips to Arrive at Meeting On Time,https://leetcode.com/problems/minimum-skips-to-arrive-at-meeting-on-time,,38.7%,,,Hard
1884. Egg Drop With 2 Eggs and N Floors,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors,,70.1%,Medium,,
1885. Count Pairs in Two Arrays,https://leetcode.com/problems/count-pairs-in-two-arrays,,58.0%,Medium,,
1886. Determine Whether Matrix Can Be Obtained By Rotation,https://leetcode.com/problems/determine-whether-matrix-can-be-obtained-by-rotation,,54.7%,,Easy,
1887. Reduction Operations to Make the Array Elements Equal,https://leetcode.com/problems/reduction-operations-to-make-the-array-elements-equal,,61.4%,Medium,,
1888. Minimum Number of Flips to Make the Binary String Alternating,https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating,,36.7%,Medium,,
1889. Minimum Space Wasted From Packaging,https://leetcode.com/problems/minimum-space-wasted-from-packaging,,29.9%,,,Hard
1890. The Latest Login in 2020,https://leetcode.com/problems/the-latest-login-in-2020,,83.9%,,Easy,
1891. Cutting Ribbons,https://leetcode.com/problems/cutting-ribbons,,48.5%,Medium,,
1892. Page Recommendations II,https://leetcode.com/problems/page-recommendations-ii,,44.0%,,,Hard
1893. Check if All the Integers in a Range Are Covered,https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered,,50.8%,,Easy,
1894. Find the Student that Will Replace the Chalk,https://leetcode.com/problems/find-the-student-that-will-replace-the-chalk,,40.5%,Medium,,
1895. Largest Magic Square,https://leetcode.com/problems/largest-magic-square,,51.1%,Medium,,
1896. Minimum Cost to Change the Final Value of Expression,https://leetcode.com/problems/minimum-cost-to-change-the-final-value-of-expression,,53.2%,,,Hard
1897. Redistribute Characters to Make All Strings Equal,https://leetcode.com/problems/redistribute-characters-to-make-all-strings-equal,,60.0%,,Easy,
1898. Maximum Number of Removable Characters,https://leetcode.com/problems/maximum-number-of-removable-characters,,35.2%,Medium,,
1899. Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet,,60.8%,Medium,,
1900. The Earliest and Latest Rounds Where Players Compete,https://leetcode.com/problems/the-earliest-and-latest-rounds-where-players-compete,,51.4%,,,Hard
1901. Find a Peak Element II,https://leetcode.com/problems/find-a-peak-element-ii,,53.5%,Medium,,
1902. Depth of BST Given Insertion Order,https://leetcode.com/problems/depth-of-bst-given-insertion-order,,46.6%,Medium,,
1903. Largest Odd Number in String,https://leetcode.com/problems/largest-odd-number-in-string,,57.0%,,Easy,
1904. The Number of Full Rounds You Have Played,https://leetcode.com/problems/the-number-of-full-rounds-you-have-played,,47.4%,Medium,,
1905. Count Sub Islands,https://leetcode.com/problems/count-sub-islands,,64.1%,Medium,,
1906. Minimum Absolute Difference Queries,https://leetcode.com/problems/minimum-absolute-difference-queries,,42.7%,Medium,,
1907. Count Salary Categories,https://leetcode.com/problems/count-salary-categories,,66.8%,Medium,,
1908. Game of Nim,https://leetcode.com/problems/game-of-nim,,58.2%,Medium,,
1909. Remove One Element to Make the Array Strictly Increasing,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,,27.6%,,Easy,
1910. Remove All Occurrences of a Substring,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,,71.8%,Medium,,
1911. Maximum Alternating Subsequence Sum,https://leetcode.com/problems/maximum-alternating-subsequence-sum,,58.8%,Medium,,
1912. Design Movie Rental System,https://leetcode.com/problems/design-movie-rental-system,,42.8%,,,Hard
1913. Maximum Product Difference Between Two Pairs,https://leetcode.com/problems/maximum-product-difference-between-two-pairs,,81.2%,,Easy,
1914. Cyclically Rotating a Grid,https://leetcode.com/problems/cyclically-rotating-a-grid,,46.5%,Medium,,
1915. Number of Wonderful Substrings,https://leetcode.com/problems/number-of-wonderful-substrings,,43.2%,Medium,,
1916. Count Ways to Build Rooms in an Ant Colony,https://leetcode.com/problems/count-ways-to-build-rooms-in-an-ant-colony,,48.3%,,,Hard
1917. Leetcodify Friends Recommendations,https://leetcode.com/problems/leetcodify-friends-recommendations,,30.2%,,,Hard
1918. Kth Smallest Subarray Sum,https://leetcode.com/problems/kth-smallest-subarray-sum,,54.6%,Medium,,
1919. Leetcodify Similar Friends,https://leetcode.com/problems/leetcodify-similar-friends,,42.2%,,,Hard
1920. Build Array from Permutation,https://leetcode.com/problems/build-array-from-permutation,,91.8%,,Easy,
1921. Eliminate Maximum Number of Monsters,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,,37.5%,Medium,,
